,Date,WiFi Zone,Location,Total Revenue
1400,2021-02-28,FBXW-LI-CHEAPCHEAP-SHOP-AP,Lebalelo,3.33
1401,2021-02-28,FBXW-LI-COUNCILLOR-SEERANE-RESIDENCE-AP,Lebalelo,3.33
1397,2021-02-28,FBXW-KZN-MARRIANHILL-AP2,Inanda,5.0
1404,2021-02-28,FBXW-LI-MALOKELA-INTERNET-CAFE-AP,Lebalelo,25.71
1402,2021-02-28,FBXW-LI-DIMPHO-SHOP-AP,Lebalelo,6.9
1414,2021-02-28,FBXW-LI-Ramb-ChiefHouse-AP1,Rambuda,28.33
1413,2021-02-28,FBXW-LI-Ramb-AaronHouse-AP1,Rambuda,33.57
1412,2021-02-28,FBXW-LI-PROSPERITE-TUCKSHOP-AP,Lebalelo,10.48
1411,2021-02-28,FBXW-LI-NTWAMPE-AP,Lebalelo,3.57
1415,2021-02-28,FBXW-LI-Ramb-HaKhakhiSpazaShop-AP1,Rambuda,15.24
1409,2021-02-28,FBXW-LI-Masakhana-Spaza-Shop-AP1,Tzaneen,3.33
1408,2021-02-28,FBXW-LI-Mariveni-CafeAP1,Tzaneen,15.48
1407,2021-02-28,FBXW-LI-MORENA-GENERAL-AP,Lebalelo,3.33
1406,2021-02-28,FBXW-LI-MMUTLANE-CLINIC-AP,Lebalelo,6.67
1405,2021-02-28,FBXW-LI-MMABOKO-SHOP-AP,Lebalelo,53.57
1410,2021-02-28,FBXW-LI-NGWANAMATLALA-BUSINESSPARK-AP,Lebalelo,8.57
1484,2021-03-01,FBXW-LI-YOUNG-AND-MENTHOL-AP,Lebalelo,10.48
1483,2021-03-01,FBXW-LI-Waren-G-AP2,Tzaneen,10.0
1482,2021-03-01,FBXW-LI-Waren-G-AP1,Tzaneen,10.0
1481,2021-03-01,FBXW-LI-Twenty-Ten-Centre-Shop-AP2,Tzaneen,10.71
1478,2021-03-01,FBXW-LI-Ramb-PileKonanani-disable-people-co-operative-AP1,Rambuda,8.33
1479,2021-03-01,FBXW-LI-Ruth-Tuck-Shop-AP1,Tzaneen,15.0
1477,2021-03-01,FBXW-LI-Ramb-NditsheniFruitShop-AP1,Rambuda,43.33
1476,2021-03-01,FBXW-LI-Ramb-NageliHouse-AP1,Rambuda,27.62
1475,2021-03-01,FBXW-LI-Ramb-MuofheSpazaShop-AP11,Rambuda,6.9
1480,2021-03-01,FBXW-LI-SEKOBELA-TUCKSHOP-AP,Lebalelo,15.0
1485,2021-03-01,FBXW-MONASGENERALSTORE-AP1,Munsieville,21.9
1498,2021-03-01,PIXWF-ICONICHAIRSALON-AP1,Munsieville,10.48
1487,2021-03-01,PIXWF-BH-CORNERTUCKSHOP-AP1,Bothas Hill,73.81
1488,2021-03-01,PIXWF-BH-DLAMINI-RESIDENCE-AP1,Bothas Hill,11.67
1489,2021-03-01,PIXWF-BH-GRIMATUCKSHOP-AP,Bothas Hill,3.33
1490,2021-03-01,PIXWF-BH-KINGS-TUCKSHOP-AP1,Bothas Hill,3.33
1491,2021-03-01,PIXWF-BH-LEFTCORNERSHOPCDP-AP1,Bothas Hill,3.33
1492,2021-03-01,PIXWF-BH-MCHUNU-HOUSE-AP1,Bothas Hill,13.57
1493,2021-03-01,PIXWF-BH-MSOMI-HOUSE-AP,Bothas Hill,6.9
1494,2021-03-01,PIXWF-BH-NGCOBO-HOUSE-AP1,Bothas Hill,16.67
1495,2021-03-01,PIXWF-BH-ROADHOUSESPAZA-AP1,Bothas Hill,84.76
1496,2021-03-01,PIXWF-BH-TSAKANE-AP1,Bothas Hill,76.67
1497,2021-03-01,PIXWF-CPT-KAYAMANDI-AP1,Kayamandi,97.62
1474,2021-03-01,FBXW-LI-Ramb-MukwevhoResidence-AP1,Rambuda,16.9
1486,2021-03-01,PIXWF-BH-ASIBONGETRADINGBUTCHER-AP1,Bothas Hill,15.24
1473,2021-03-01,FBXW-LI-Ramb-Matsindisi-AP1,Rambuda,11.67
1459,2021-03-01,FBXW-LI-DIMPHO-SHOP-AP,Lebalelo,6.9
1471,2021-03-01,FBXW-LI-Ramb-Lavhe-AP1,Rambuda,34.05
1499,2021-03-01,PIXWF-MIDO-INTERNET-CAFE-AP1,Munsieville,16.9
1446,2021-03-01,EFBXW-LI-Ram-Madula,Rambuda,16.9
1447,2021-03-01,EFBXW-LI-Ramb-Nethamba-AP1,Rambuda,8.33
1448,2021-03-01,EFBXW-LI-Ramb-NetiliResidence-AP1,Rambuda,10.48
1449,2021-03-01,EFBXW-LI-Ramb-SuccessSalon-AP1,Rambuda,21.9
1450,2021-03-01,FBXW-KZN-CLERMONT-AP1,Cleremont,23.57
1451,2021-03-01,FBXW-KZN-INANDA-AP1,Inanda,6.67
1452,2021-03-01,FBXW-KZN-Lamontville-PIXWF,Lamontville,48.57
1453,2021-03-01,FBXW-KZN-OLC-AP1,Mpopheni,14.29
1454,2021-03-01,FBXW-KZN-Phoenix-AP1,Pheonix,13.57
1455,2021-03-01,FBXW-LI-Asvali-Supermarket-AP1,Tzaneen,3.57
1456,2021-03-01,FBXW-LI-Asvali-Supermarket-AP2,Tzaneen,3.57
1457,2021-03-01,FBXW-LI-CHEAPCHEAP-SHOP-AP,Lebalelo,3.33
1458,2021-03-01,FBXW-LI-CORNER-TUCKSHOP-AP1,Tzaneen,5.0
1460,2021-03-01,FBXW-LI-Hoza-Hoza-Tuckshop-AP1,Tzaneen,23.57
1461,2021-03-01,FBXW-LI-MALOKELA-INTERNET-CAFE-AP,Lebalelo,15.48
1462,2021-03-01,FBXW-LI-MMABOKO-SHOP-AP,Lebalelo,31.9
1463,2021-03-01,FBXW-LI-MMUTLANE-CLINIC-AP,Lebalelo,6.67
1464,2021-03-01,FBXW-LI-Mariveni-CafeAP1,Tzaneen,24.05
1465,2021-03-01,FBXW-LI-Masakhana-Spaza-Shop-AP1,Tzaneen,7.14
1466,2021-03-01,FBXW-LI-PROSPERITE-TUCKSHOP-AP,Lebalelo,10.24
1467,2021-03-01,FBXW-LI-Ramb-AaronHouse-AP1,Rambuda,45.24
1468,2021-03-01,FBXW-LI-Ramb-ChiefHouse-AP1,Rambuda,36.67
1469,2021-03-01,FBXW-LI-Ramb-CouncilOffice-AP1,Rambuda,29.52
1470,2021-03-01,FBXW-LI-Ramb-HaKhakhiSpazaShop-AP1,Rambuda,13.81
1472,2021-03-01,FBXW-LI-Ramb-MKSpazaShopTshibvumo-AP1,Rambuda,23.57
1500,2021-03-01,PIXWF-NOBELACENTER-AP1,Munsieville,7.14
0,2021-03-02,EFBXW-LI-Ram-Madula,Rambuda,6.9
27,2021-03-02,FBXW-LI-Ramb-NageliHouse-AP1,Rambuda,10.71
28,2021-03-02,FBXW-LI-Ramb-NditsheniFruitShop-AP1,Rambuda,13.33
29,2021-03-02,FBXW-LI-Ramb-PileKonanani-disable-people-co-operative-AP1,Rambuda,7.14
30,2021-03-02,FBXW-LI-Ruth-Tuck-Shop-AP1,Tzaneen,5.0
31,2021-03-02,FBXW-LI-SEKOBELA-TUCKSHOP-AP,Lebalelo,6.67
32,2021-03-02,FBXW-LI-Twenty-Ten-Centre-Shop-AP2,Tzaneen,7.14
33,2021-03-02,FBXW-LI-Waren-G-AP1,Tzaneen,3.57
34,2021-03-02,FBXW-LI-Waren-G-AP2,Tzaneen,3.57
35,2021-03-02,FBXW-LI-YOUNG-AND-MENTHOL-AP,Lebalelo,3.33
36,2021-03-02,FBXW-MONASGENERALSTORE-AP1,Munsieville,6.9
26,2021-03-02,FBXW-LI-Ramb-MuofheSpazaShop-AP11,Rambuda,14.05
37,2021-03-02,PIXWF-BH-ASIBONGETRADINGBUTCHER-AP1,Bothas Hill,6.9
39,2021-03-02,PIXWF-BH-DLAMINI-RESIDENCE-AP1,Bothas Hill,3.33
40,2021-03-02,PIXWF-BH-GRIMATUCKSHOP-AP,Bothas Hill,3.33
41,2021-03-02,PIXWF-BH-KINGS-TUCKSHOP-AP1,Bothas Hill,3.33
42,2021-03-02,PIXWF-BH-MCHUNU-HOUSE-AP1,Bothas Hill,6.9
43,2021-03-02,PIXWF-BH-MSOMI-HOUSE-AP,Bothas Hill,6.9
44,2021-03-02,PIXWF-BH-NGCOBO-HOUSE-AP1,Bothas Hill,3.33
45,2021-03-02,PIXWF-BH-ROADHOUSESPAZA-AP1,Bothas Hill,58.1
46,2021-03-02,PIXWF-BH-TSAKANE-AP1,Bothas Hill,39.76
47,2021-03-02,PIXWF-CPT-KAYAMANDI-AP1,Kayamandi,45.71
48,2021-03-02,PIXWF-ICONICHAIRSALON-AP1,Munsieville,10.48
38,2021-03-02,PIXWF-BH-CORNERTUCKSHOP-AP1,Bothas Hill,29.52
49,2021-03-02,PIXWF-MIDO-INTERNET-CAFE-AP1,Munsieville,6.9
25,2021-03-02,FBXW-LI-Ramb-MukwevhoResidence-AP1,Rambuda,6.9
23,2021-03-02,FBXW-LI-Ramb-MKSpazaShopTshibvumo-AP1,Rambuda,10.24
1,2021-03-02,EFBXW-LI-Ramb-NetiliResidence-AP1,Rambuda,10.48
2,2021-03-02,EFBXW-LI-Ramb-SuccessSalon-AP1,Rambuda,3.57
3,2021-03-02,FBXW-KZN-CLERMONT-AP1,Cleremont,18.57
4,2021-03-02,FBXW-KZN-INANDA-AP1,Inanda,3.33
5,2021-03-02,FBXW-KZN-Lamontville-PIXWF,Lamontville,23.57
6,2021-03-02,FBXW-KZN-OLC-AP1,Mpopheni,10.71
7,2021-03-02,FBXW-KZN-Phoenix-AP1,Pheonix,8.57
8,2021-03-02,FBXW-LI-CHEAPCHEAP-SHOP-AP,Lebalelo,3.33
9,2021-03-02,FBXW-LI-DIMPHO-SHOP-AP,Lebalelo,3.33
10,2021-03-02,FBXW-LI-Hoza-Hoza-Tuckshop-AP1,Tzaneen,23.57
24,2021-03-02,FBXW-LI-Ramb-Matsindisi-AP1,Rambuda,8.33
11,2021-03-02,FBXW-LI-MALOKELA-INTERNET-CAFE-AP,Lebalelo,10.24
13,2021-03-02,FBXW-LI-MMUTLANE-CLINIC-AP,Lebalelo,3.33
14,2021-03-02,FBXW-LI-MORENA-GENERAL-AP,Lebalelo,3.33
15,2021-03-02,FBXW-LI-Mariveni-CafeAP1,Tzaneen,15.48
16,2021-03-02,FBXW-LI-NGWANAMATLALA-BUSINESSPARK-AP,Lebalelo,3.57
17,2021-03-02,FBXW-LI-PROSPERITE-TUCKSHOP-AP,Lebalelo,6.67
18,2021-03-02,FBXW-LI-Ramb-AaronHouse-AP1,Rambuda,26.19
19,2021-03-02,FBXW-LI-Ramb-ChiefHouse-AP1,Rambuda,22.62
20,2021-03-02,FBXW-LI-Ramb-CouncilOffice-AP1,Rambuda,21.43
21,2021-03-02,FBXW-LI-Ramb-HaKhakhiSpazaShop-AP1,Rambuda,3.33
22,2021-03-02,FBXW-LI-Ramb-Lavhe-AP1,Rambuda,10.48
12,2021-03-02,FBXW-LI-MMABOKO-SHOP-AP,Lebalelo,11.9
50,2021-03-02,PIXWF-NOBELACENTER-AP1,Munsieville,7.14
